DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,10/31/2007,Kris Humphries,PF,Toronto,Philadelphia,H,6.5,1,4,0,0,0,0,2,0,2,0,3,0,2,0,2
2007-2008 Regular Season,10/31/2007,Jose Calderon,SG,Toronto,Philadelphia,H,17.9,5,7,1,1,2,2,0,1,1,4,1,0,1,0,13
2007-2008 Regular Season,10/31/2007,Carlos Delfino,SG,Toronto,Philadelphia,H,30.3,2,5,1,2,2,2,2,4,6,2,1,2,0,0,7
2007-2008 Regular Season,10/31/2007,Juan Dixon,PG,Toronto,Philadelphia,H,17.6,2,5,0,0,0,0,1,1,2,0,3,1,0,0,4
2007-2008 Regular Season,10/31/2007,Jorge Garbajosa,PF,Toronto,Philadelphia,H,6.8,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
2007-2008 Regular Season,10/31/2007,Joey Graham,SF,Toronto,Philadelphia,H,11.1,2,4,0,0,0,0,1,1,2,0,1,0,1,0,4
2007-2008 Regular Season,10/31/2007,Desmond Mason,SF,Milwaukee,Orlando,R,29.3,3,11,0,0,0,2,3,3,6,2,4,1,1,1,6
2007-2008 Regular Season,10/31/2007,Yi Jianlian,PF,Milwaukee,Orlando,R,25.4,4,5,0,0,1,4,2,1,3,0,6,1,3,2,9
2007-2008 Regular Season,10/31/2007,Andrew Bogut,PF,Milwaukee,Orlando,R,29.5,2,9,0,0,0,0,4,7,11,4,3,1,2,0,4
2007-2008 Regular Season,10/31/2007,Michael Redd,SG,Milwaukee,Orlando,R,35.9,8,19,0,5,9,10,1,4,5,2,1,0,4,0,25
2007-2008 Regular Season,10/31/2007,Mo Williams,SG,Milwaukee,Orlando,R,34.0,4,15,1,2,0,0,2,1,3,1,3,0,0,0,9
2007-2008 Regular Season,10/31/2007,Charlie Villanueva,PF,Milwaukee,Orlando,R,19.1,1,8,0,2,0,0,1,5,6,1,2,0,3,0,2
2007-2008 Regular Season,10/31/2007,Bobby Simmons,SF,Milwaukee,Orlando,R,24.7,7,11,2,5,2,4,2,1,3,2,2,0,0,0,18
2007-2008 Regular Season,10/31/2007,Charlie Bell,SG,Milwaukee,Orlando,R,20.2,3,7,1,3,0,0,0,5,5,4,1,0,1,0,7
2007-2008 Regular Season,10/31/2007,Dan Gadzuric,C,Milwaukee,Orlando,R,11.3,0,1,0,0,0,0,1,2,3,0,4,0,0,1,0
2007-2008 Regular Season,10/31/2007,Michael Ruffin,PF,Milwaukee,Orlando,R,7.7,0,0,0,0,1,2,2,0,2,0,1,1,0,0,1
2007-2008 Regular Season,10/31/2007,Royal Ivey,PG,Milwaukee,Orlando,R,2.9,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2
2007-2008 Regular Season,10/31/2007,Hedo Turkoglu,SF,Orlando,Milwaukee,H,33.7,8,15,3,5,5,5,0,5,5,2,2,1,2,0,24
2007-2008 Regular Season,10/31/2007,Rashard Lewis,SF,Orlando,Milwaukee,H,30.5,9,13,4,5,4,5,2,4,6,0,3,0,0,0,26
2007-2008 Regular Season,10/31/2007,Dwight Howard,PF,Orlando,Milwaukee,H,30.6,4,9,0,0,8,10,1,11,12,2,2,0,4,7,16
2007-2008 Regular Season,10/31/2007,Keith Bogans,SF,Orlando,Milwaukee,H,17.7,2,2,2,2,0,0,0,0,0,0,4,0,0,0,6
2007-2008 Regular Season,10/31/2007,Jameer Nelson,PG,Orlando,Milwaukee,H,29.7,2,10,0,3,6,7,0,3,3,7,0,1,2,0,10
2007-2008 Regular Season,10/31/2007,Keyon Dooling,PG,Orlando,Milwaukee,H,19.0,2,5,1,1,1,1,0,2,2,3,2,0,0,0,6
2007-2008 Regular Season,10/31/2007,Pat Garrity,SF,Orlando,Milwaukee,H,25.1,1,4,0,2,0,0,1,3,4,0,2,0,0,0,2
2007-2008 Regular Season,10/31/2007,Adonal Foyle,C,Orlando,Milwaukee,H,17.5,2,6,0,0,2,3,4,2,6,0,3,0,0,2,6
2007-2008 Regular Season,10/31/2007,JJ Redick,SG,Orlando,Milwaukee,H,8.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2007-2008 Regular Season,10/31/2007,Carlos Arroyo,PG,Orlando,Milwaukee,H,18.3,2,6,2,4,0,2,1,1,2,1,1,0,1,0,6
2007-2008 Regular Season,10/31/2007,Trevor Ariza,SF,Orlando,Milwaukee,H,7.5,0,2,0,0,0,2,0,1,1,0,2,0,0,0,0
2007-2008 Regular Season,10/31/2007,James Augustine,PF,Orlando,Milwaukee,H,2.4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2007-2008 Regular Season,10/31/2007,Caron Butler,SF,Washington,Indiana,R,47.8,6,17,0,1,7,11,3,8,11,0,5,3,8,1,19
2007-2008 Regular Season,10/31/2007,Antawn Jamison,SF,Washington,Indiana,R,43.8,8,25,3,6,8,9,4,12,16,3,4,1,3,1,27
2007-2008 Regular Season,10/31/2007,Brendan Haywood,C,Washington,Indiana,R,29.7,4,8,0,0,2,4,11,2,13,1,3,0,0,1,10
2007-2008 Regular Season,10/31/2007,DeShawn Stevenson,SG,Washington,Indiana,R,18.4,1,4,1,2,0,0,0,1,1,1,2,0,0,1,3
2007-2008 Regular Season,10/31/2007,Gilbert Arenas,PG,Washington,Indiana,R,43.8,10,25,1,8,13,19,1,7,8,3,5,1,5,0,34
2007-2008 Regular Season,10/31/2007,Nick Young,SG,Washington,Indiana,R,6.9,1,2,1,1,0,0,0,1,1,0,2,0,0,0,3
2007-2008 Regular Season,10/31/2007,Andray Blatche,PF,Washington,Indiana,R,13.7,1,4,0,0,0,0,1,0,1,2,3,0,1,2,2
2007-2008 Regular Season,10/31/2007,Antonio Daniels,SG,Washington,Indiana,R,29.2,2,4,0,0,0,0,0,0,0,3,1,1,0,0,4
2007-2008 Regular Season,10/31/2007,Darius Songaila,PF,Washington,Indiana,R,22.0,2,8,0,1,2,2,3,1,4,2,4,0,1,0,6
2007-2008 Regular Season,10/31/2007,Roger Mason Jr.,,Washington,Indiana,R,7.7,1,2,0,1,0,0,0,1,1,0,0,0,0,0,2
2007-2008 Regular Season,10/31/2007,Dominic McGuire,SG,Washington,Indiana,R,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007-2008 Regular Season,10/31/2007,Danny Granger,SF,Indiana,Washington,H,36.0,7,17,5,9,1,2,3,10,13,1,5,2,5,2,20
2007-2008 Regular Season,10/31/2007,Ike Diogu,PF,Indiana,Washington,H,22.6,5,11,0,0,3,3,1,2,3,0,4,0,2,0,13
2007-2008 Regular Season,10/31/2007,Jeff Foster,C,Indiana,Washington,H,29.3,3,8,0,0,0,0,2,4,6,1,6,1,2,0,6
2007-2008 Regular Season,10/31/2007,Mike Dunleavy,SF,Indiana,Washington,H,45.8,7,17,3,5,8,10,1,11,12,4,1,0,1,0,25
2007-2008 Regular Season,10/31/2007,Jamaal Tinsley,PG,Indiana,Washington,H,37.6,6,15,2,5,6,8,2,7,9,8,4,3,1,0,20
2007-2008 Regular Season,10/31/2007,David Harrison,C,Indiana,Washington,H,31.1,4,5,0,0,5,5,3,2,5,1,5,4,3,3,13
2007-2008 Regular Season,10/31/2007,Marquis Daniels,SG,Indiana,Washington,H,20.0,3,8,1,3,2,2,1,1,2,1,2,0,1,1,9
2007-2008 Regular Season,10/31/2007,Travis Diener,PG,Indiana,Washington,H,15.4,2,6,1,4,0,0,0,2,2,2,2,1,2,0,5
2007-2008 Regular Season,10/31/2007,Courtney Sims,C,Indiana,Washington,H,7.7,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2007-2008 Regular Season,10/31/2007,Kareem Rush,PG,Indiana,Washington,H,9.6,1,4,1,3,0,0,0,0,0,0,1,1,0,0,3
2007-2008 Regular Season,10/31/2007,Andre Owens,PG,Indiana,Washington,H,10.0,0,1,0,0,5,6,1,2,3,2,1,0,0,0,5
2007-2008 Regular Season,10/31/2007,Luol Deng,SF,Chicago,New Jersey,R,44.0,9,17,0,0,4,6,4,7,11,2,2,4,2,0,22
2007-2008 Regular Season,10/31/2007,Tyrus Thomas,PF,Chicago,New Jersey,R,22.2,1,7,0,0,2,2,3,3,6,1,3,0,1,0,4
2007-2008 Regular Season,10/31/2007,Ben Wallace,PF,Chicago,New Jersey,R,37.7,3,7,0,0,1,4,4,1,5,2,2,0,1,1,7
2007-2008 Regular Season,10/31/2007,Ben Gordon,SG,Chicago,New Jersey,R,48.2,8,25,3,10,8,8,3,5,8,4,1,2,6,0,27
2007-2008 Regular Season,10/31/2007,Kirk Hinrich,PG,Chicago,New Jersey,R,25.2,6,11,2,4,0,0,0,3,3,3,6,0,2,0,14
